municipio,ano,primeira_consulta,primeira_ate_12_semana,exames_ate_20_semana,consultas_1_3,consultas_4_5,consultas_6_mais
ADAMANTINA,2022,306,243,24,87,59,159
ADAMANTINA,2023,298,245,16,47,35,198
ADAMANTINA,2024,284,238,36,41,44,172
ADAMANTINA,2025,87,75,6,7,13,9
ADOLFO,2022,51,44,2,42,0,2
ADOLFO,2023,49,46,7,40,0,2
ADOLFO,2024,44,42,3,35,0,2
ADOLFO,2025,11,11,2,3,0,0
AGUAÍ,2022,249,122,0,157,42,46
AGUAÍ,2023,415,284,2,272,53,71
AGUAÍ,2024,191,161,2,179,0,4
AGUDOS,2022,434,323,98,98,56,279
AGUDOS,2023,443,343,77,64,31,347
AGUDOS,2024,367,300,64,69,48,245
AGUDOS,2025,113,85,17,25,8,14
ALAMBARI,2022,59,39,13,15,9,35
ALAMBARI,2023,57,50,6,5,4,47
ALAMBARI,2024,72,48,15,12,23,37
ALAMBARI,2025,26,22,1,5,4,1
ALFREDO MARCONDES,2022,39,35,16,27,3,6
ALFREDO MARCONDES,2023,33,28,19,31,1,0
ALFREDO MARCONDES,2024,39,34,32,38,0,0
ALFREDO MARCONDES,2025,14,14,9,5,0,0
ALTAIR,2022,30,17,1,5,8,17
ALTAIR,2023,30,22,14,4,3,17
ALTAIR,2024,29,24,9,3,3,22
ALTAIR,2025,9,7,5,0,1,2
ALTINÓPOLIS,2022,176,139,24,24,21,121
ALTINÓPOLIS,2023,158,138,83,17,12,120
ALTINÓPOLIS,2024,175,149,55,31,38,103
ALTINÓPOLIS,2025,69,54,7,17,10,0
ALTO ALEGRE,2022,26,20,1,22,3,1
ALTO ALEGRE,2023,29,23,1,3,2,23
ALTO ALEGRE,2024,31,25,0,15,7,7
ALTO ALEGRE,2025,9,8,0,3,1,0
ALUMÍNIO,2024,116,45,2,28,29,55
ALUMÍNIO,2025,42,30,0,16,8,1
ALVINLÂNDIA,2022,30,17,1,17,6,6
ALVINLÂNDIA,2023,31,28,1,30,0,1
ALVINLÂNDIA,2024,16,15,0,16,0,0
ALVINLÂNDIA,2025,7,7,0,0,0,0
AMERICANA,2022,1128,677,65,877,131,85
AMERICANA,2023,1215,877,200,807,148,205
AMERICANA,2024,1247,1023,390,869,143,160
AMERICANA,2025,424,347,101,143,10,3
AMPARO,2022,9,2,0,9,0,0
AMPARO,2023,493,254,46,301,81,89
AMPARO,2024,413,296,17,172,93,133
AMPARO,2025,109,76,0,46,1,0
AMÉRICO BRASILIENSE,2022,325,281,106,306,3,5
AMÉRICO BRASILIENSE,2023,323,280,125,297,4,3
AMÉRICO BRASILIENSE,2024,291,244,43,267,2,2
AMÉRICO BRASILIENSE,2025,96,87,4,41,0,0
AMÉRICO DE CAMPOS,2022,43,36,9,14,15,13
AMÉRICO DE CAMPOS,2023,52,42,13,9,7,34
AMÉRICO DE CAMPOS,2024,53,44,17,18,8,24
AMÉRICO DE CAMPOS,2025,14,12,1,4,0,0
ANALÂNDIA,2022,54,44,7,19,7,27
ANALÂNDIA,2023,41,31,2,16,13,9
ANALÂNDIA,2024,45,35,0,36,7,0
ANALÂNDIA,2025,10,9,0,1,0,1
ANDRADINA,2022,503,415,15,63,30,367
ANDRADINA,2023,466,379,30,37,23,369
ANDRADINA,2024,453,380,32,39,33,346
ANDRADINA,2025,166,124,29,26,8,27
ANGATUBA,2022,345,287,139,235,53,28
ANGATUBA,2023,253,218,99,207,24,9
ANGATUBA,2024,291,268,119,265,2,6
ANGATUBA,2025,90,82,30,29,0,0
ANHEMBI,2022,81,67,3,32,7,41
ANHEMBI,2023,69,55,1,10,7,51
ANHEMBI,2024,65,54,1,16,10,37
ANHEMBI,2025,19,12,1,10,2,0
ANHUMAS,2022,48,35,7,37,7,0
ANHUMAS,2023,45,41,6,38,2,2
ANHUMAS,2024,35,33,7,31,2,0
ANHUMAS,2025,6,5,0,1,0,0
APARECIDA,2022,292,222,84,55,39,192
APARECIDA,2023,300,227,75,66,65,165
APARECIDA,2024,273,202,52,66,59,143
APARECIDA,2025,64,46,3,21,7,0
APARECIDA D'OESTE,2022,31,26,3,28,0,2
APARECIDA D'OESTE,2023,42,29,1,19,7,13
APARECIDA D'OESTE,2024,47,38,2,43,1,1
APARECIDA D'OESTE,2025,8,6,1,2,0,0
APIAÍ,2022,279,177,58,202,35,25
APIAÍ,2023,328,282,145,232,43,30
APIAÍ,2024,291,246,142,200,40,18
APIAÍ,2025,92,86,38,31,0,0
ARAMINA,2022,51,42,3,44,0,0
ARAMINA,2023,51,45,2,44,2,0
ARAMINA,2024,36,32,2,35,0,0
ARAMINA,2025,12,12,1,2,0,0
ARANDU,2022,15,5,0,15,0,0
ARANDU,2023,94,37,4,40,29,24
ARANDU,2024,71,24,0,64,1,0
ARANDU,2025,23,11,0,15,0,0
ARAPEÍ,2022,35,30,20,3,5,21
ARAPEÍ,2023,29,28,19,2,1,26
ARAPEÍ,2024,30,26,18,2,2,21
ARAPEÍ,2025,11,8,6,0,1,2
ARARAQUARA,2022,1518,1105,160,1152,153,117
ARARAQUARA,2023,1585,1219,242,1161,202,134
ARARAQUARA,2024,1473,1117,249,1106,170,96
ARARAQUARA,2025,525,396,73,213,8,6
ARARAS,2022,863,555,230,274,114,458
ARARAS,2023,892,713,333,131,106,617
ARARAS,2024,809,654,329,127,82,570
ARARAS,2025,257,204,88,29,15,43
ARAÇARIGUAMA,2022,334,253,93,279,17,11
ARAÇARIGUAMA,2023,304,243,148,221,37,27
ARAÇARIGUAMA,2024,340,275,140,205,48,54
ARAÇARIGUAMA,2025,127,101,33,46,2,1
ARAÇATUBA,2022,1545,1071,223,459,252,752
ARAÇATUBA,2023,1579,1142,140,351,173,932
ARAÇATUBA,2024,1624,1298,15,204,128,1144
ARAÇATUBA,2025,512,417,4,76,49,54
ARAÇOIABA DA SERRA,2022,341,242,13,314,3,6
ARAÇOIABA DA SERRA,2023,261,213,46,220,17,11
ARAÇOIABA DA SERRA,2024,281,234,102,219,27,21
ARAÇOIABA DA SERRA,2025,81,67,33,22,1,0
ARCO-ÍRIS,2022,10,6,0,8,1,1
ARCO-ÍRIS,2023,12,4,1,4,2,6
ARCO-ÍRIS,2024,7,6,0,2,2,3
ARCO-ÍRIS,2025,5,3,0,3,0,0
AREALVA,2022,104,77,2,10,10,84
AREALVA,2023,62,55,0,5,5,51
AREALVA,2024,71,57,3,18,12,34
AREALVA,2025,25,21,4,7,0,1
AREIAS,2022,37,28,7,17,9,11
AREIAS,2023,52,33,24,18,8,26
AREIAS,2024,38,30,17,21,6,11
AREIAS,2025,24,15,6,11,0,0
AREIÓPOLIS,2022,104,67,4,20,14,70
AREIÓPOLIS,2023,86,66,16,27,9,50
AREIÓPOLIS,2024,94,56,14,32,23,39
AREIÓPOLIS,2025,26,16,0,5,8,0
ARIRANHA,2022,26,21,0,26,0,0
ARIRANHA,2023,39,31,0,33,1,1
ARIRANHA,2024,23,15,1,22,1,0
