dataset,comparacao,ano,obitos_novo,obitos_alvo,diferenca
oficiais,autochecagem_sem_municipio_ocorrencia,1996,305,305,0
oficiais,autochecagem_sem_municipio_ocorrencia,1997,389,389,0
oficiais,autochecagem_sem_municipio_ocorrencia,1998,386,386,0
oficiais,autochecagem_sem_municipio_ocorrencia,1999,374,374,0
oficiais,autochecagem_sem_municipio_ocorrencia,2000,275,275,0
oficiais,autochecagem_sem_municipio_ocorrencia,2001,257,257,0
oficiais,autochecagem_sem_municipio_ocorrencia,2002,247,247,0
oficiais,autochecagem_sem_municipio_ocorrencia,2003,208,208,0
oficiais,autochecagem_sem_municipio_ocorrencia,2004,214,214,0
oficiais,autochecagem_sem_municipio_ocorrencia,2005,217,217,0
oficiais,autochecagem_sem_municipio_ocorrencia,2006,246,246,0
oficiais,autochecagem_sem_municipio_ocorrencia,2007,252,252,0
oficiais,autochecagem_sem_municipio_ocorrencia,2008,246,246,0
oficiais,autochecagem_sem_municipio_ocorrencia,2009,339,339,0
oficiais,autochecagem_sem_municipio_ocorrencia,2010,271,271,0
oficiais,autochecagem_sem_municipio_ocorrencia,2011,249,249,0
oficiais,autochecagem_sem_municipio_ocorrencia,2012,226,226,0
oficiais,autochecagem_sem_municipio_ocorrencia,2013,240,240,0
oficiais,autochecagem_sem_municipio_ocorrencia,2014,263,263,0
oficiais,autochecagem_sem_municipio_ocorrencia,2015,311,311,0
oficiais,autochecagem_sem_municipio_ocorrencia,2016,308,308,0
oficiais,autochecagem_sem_municipio_ocorrencia,2017,348,348,0
oficiais,autochecagem_sem_municipio_ocorrencia,2018,303,303,0
oficiais,autochecagem_sem_municipio_ocorrencia,2019,283,283,0
oficiais,autochecagem_sem_municipio_ocorrencia,2020,332,332,0
oficiais,autochecagem_sem_municipio_ocorrencia,2021,457,457,0
oficiais,autochecagem_sem_municipio_ocorrencia,2022,207,207,0
oficiais,autochecagem_sem_municipio_ocorrencia,2023,212,212,0
oficiais,autochecagem_sem_municipio_ocorrencia,2024,184,184,0
oficiais,autochecagem_sem_municipio_ocorrencia,2025,179,179,0
oficiais,painel_referencia,1996,305,305,0
oficiais,painel_referencia,1997,389,389,0
oficiais,painel_referencia,1998,386,386,0
oficiais,painel_referencia,1999,374,374,0
oficiais,painel_referencia,2000,275,275,0
oficiais,painel_referencia,2001,257,257,0
oficiais,painel_referencia,2002,247,247,0
oficiais,painel_referencia,2003,208,208,0
oficiais,painel_referencia,2004,214,214,0
oficiais,painel_referencia,2005,217,217,0
oficiais,painel_referencia,2006,246,246,0
oficiais,painel_referencia,2007,252,252,0
oficiais,painel_referencia,2008,246,246,0
oficiais,painel_referencia,2009,339,339,0
oficiais,painel_referencia,2010,271,271,0
oficiais,painel_referencia,2011,249,249,0
oficiais,painel_referencia,2012,226,226,0
oficiais,painel_referencia,2013,240,240,0
oficiais,painel_referencia,2014,263,263,0
oficiais,painel_referencia,2015,311,311,0
oficiais,painel_referencia,2016,308,308,0
oficiais,painel_referencia,2017,348,348,0
oficiais,painel_referencia,2018,303,303,0
oficiais,painel_referencia,2019,283,283,0
oficiais,painel_referencia,2020,332,332,0
oficiais,painel_referencia,2021,457,457,0
oficiais,painel_referencia,2022,207,207,0
oficiais,painel_referencia,2023,212,212,0
oficiais,painel_referencia,2024,184,184,0
oficiais,painel_referencia,2025,179,179,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,1996,115,115,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,1997,252,252,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,1998,202,202,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,1999,333,333,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,2000,433,433,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,2001,280,280,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,2002,293,293,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,2003,315,315,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,2004,370,370,0
nao_considerados,autochecagem_sem_municipio_ocorrencia,2005,331,331,0
